Customer ID,recency,frequency,monetary,r_score,f_score,m_score,rfm_score,rfm_segment,segment_label
12346,165,11,372.86,2,5,2,9,252,Others
12347,3,2,1323.32,5,2,4,11,524,New Customers
12348,74,1,222.16,2,1,1,4,211,Lost
12349,43,3,2671.14,3,3,5,11,335,Loyal Customers
12351,11,1,300.93,5,1,2,8,512,New Customers
12352,11,2,343.8,5,2,2,9,522,New Customers
12353,44,1,317.76,3,1,2,6,312,Others
12355,203,1,488.21000000000004,1,1,2,4,112,Lost
12356,16,3,3560.3,4,3,5,12,435,Loyal Customers
12357,24,2,12079.99,4,2,5,11,425,New Customers
12358,11,3,2719.01,5,3,5,13,535,Loyal Customers
12359,61,6,2563.36,3,4,5,12,345,Loyal Customers
12360,15,5,1590.83,5,4,4,13,544,Champions
12361,98,3,321.35,2,3,2,7,232,Others
12362,374,1,130.0,1,1,1,3,111,Lost
12366,269,1,500.24,1,1,3,5,113,Cant Lose Them
12368,264,1,917.6999999999999,1,1,3,5,113,Cant Lose Them
12369,49,3,1791.15,3,3,4,10,334,Loyal Customers
12370,260,3,774.62,1,3,3,7,133,At Risk
12371,45,3,2179.42,3,3,5,11,335,Loyal Customers
12373,260,2,763.0500000000001,1,2,3,6,123,Cant Lose Them
12374,57,3,2246.29,3,3,5,11,335,Loyal Customers
12376,25,2,503.15,4,2,3,9,423,New Customers
12377,17,2,1798.2,4,2,4,10,424,New Customers
12378,198,1,1407.7,1,1,4,6,114,Cant Lose Them
12379,58,2,767.98,3,2,3,8,323,Others
12380,101,7,6951.49,2,5,5,12,255,At Risk
12385,15,1,1938.4,5,1,4,10,514,New Customers
12386,2,1,258.9,5,1,2,8,512,New Customers
12387,51,1,143.94,3,1,1,5,311,Others
12388,81,2,1120.45,2,2,4,8,224,Cant Lose Them
12389,38,3,1433.33,3,3,4,10,334,Loyal Customers
12391,100,5,2285.18,2,4,5,11,245,At Risk
12392,227,1,234.75000000000003,1,1,1,3,111,Lost
12393,18,2,816.85,4,2,3,9,423,New Customers
12395,7,4,2048.64,5,4,4,13,544,Champions
12396,310,1,931.43,1,1,3,5,113,Cant Lose Them
12399,21,3,853.65,4,3,3,10,433,Loyal Customers
12400,50,1,205.25,3,1,1,5,311,Others
12402,28,5,1031.3,4,4,4,12,444,Champions
12403,157,1,591.6600000000001,2,1,3,6,213,Cant Lose Them
12404,318,1,63.24,1,1,1,3,111,Lost
12406,35,3,2975.06,4,3,5,12,435,Loyal Customers
12408,21,3,1452.22,4,3,4,11,434,Loyal Customers
12409,56,4,12346.619999999999,3,4,5,12,345,Loyal Customers
12410,138,1,320.38,2,1,2,5,212,Lost
12411,45,1,346.9,3,1,2,6,312,Others
12412,38,3,1370.05,3,3,4,10,334,Loyal Customers
12413,38,1,241.35,3,1,1,5,311,Others
12414,99,3,390.0,2,3,2,7,232,Others
12415,11,7,19543.84,5,5,5,15,555,Champions
12416,292,1,202.56,1,1,1,3,111,Lost
12417,46,11,3148.31,3,5,5,13,355,Loyal Customers
12418,49,3,1352.62,3,3,4,10,334,Loyal Customers
12419,21,2,503.01,4,2,3,9,423,New Customers
12421,51,2,291.56,3,2,2,7,322,Others
12422,30,14,4428.24,4,5,5,14,455,Champions
12423,23,2,763.08,4,2,3,9,423,New Customers
12424,58,2,1579.07,3,2,4,9,324,Others
12425,84,1,964.21,2,1,3,6,213,Cant Lose Them
12426,298,1,762.48,1,1,3,5,113,Cant Lose Them
12427,7,1,303.5,5,1,2,8,512,New Customers
12429,1,5,3735.51,5,4,5,14,545,Champions
12431,9,13,4370.52,5,5,5,15,555,Champions
12433,2,5,7205.39,5,4,5,14,545,Champions
12434,17,1,297.29,4,1,2,7,412,New Customers
12435,32,4,6096.04,4,4,5,13,445,Champions
12437,31,21,7731.99,4,5,5,14,455,Champions
12439,318,2,1142.88,1,2,4,7,124,Cant Lose Them
12440,98,2,859.2,2,2,3,7,223,Cant Lose Them
12441,2,1,173.55,5,1,1,7,511,New Customers
12443,368,1,485.31,1,1,2,4,112,Lost
12445,56,1,301.58000000000004,3,1,2,6,312,Others
12449,46,2,768.6,3,2,3,8,323,Others
12450,35,3,490.32,4,3,2,9,432,Potential Loyalists
12451,99,3,3634.36,2,3,5,10,235,At Risk
12454,31,4,13151.44,4,4,5,13,445,Champions
12455,81,4,3413.09,2,4,5,11,245,At Risk
12457,71,1,632.68,3,1,3,7,313,Others
12458,63,2,830.09,3,2,3,8,323,Others
12459,241,1,454.36,1,1,2,4,112,Lost
12460,92,1,326.65,2,1,2,5,212,Lost
12466,318,1,56.73,1,1,1,3,111,Lost
12467,59,1,132.8,3,1,1,5,311,Others
12468,162,3,2941.2,2,3,5,10,235,At Risk
12469,158,2,3070.54,2,2,5,9,225,Cant Lose Them
12470,325,1,211.95,1,1,1,3,111,Lost
12471,10,49,20129.54,5,5,5,15,555,Champions
12472,5,13,11308.48,5,5,5,15,555,Champions
12474,14,13,5048.66,5,5,5,15,555,Champions
12475,45,1,426.26,3,1,2,6,312,Others
12476,32,12,7267.49,4,5,5,14,455,Champions
12477,35,3,7056.63,4,3,5,12,435,Loyal Customers
12480,35,3,2183.2200000000003,4,3,5,12,435,Loyal Customers
12481,1,6,6765.07,5,4,5,14,545,Champions
12482,212,29,23691.4,1,5,5,11,155,At Risk
12483,14,11,2612.2000000000003,5,5,5,15,555,Champions
12484,119,6,1826.78,2,4,4,10,244,At Risk
12485,165,1,708.1,2,1,3,6,213,Cant Lose Them
12486,67,1,1037.28,3,1,4,8,314,Others
12487,366,1,285.29999999999995,1,1,2,4,112,Lost
12490,14,11,4405.71,5,5,5,15,555,Champions
12492,39,1,452.0,3,1,2,6,312,Others
12494,1,3,626.77,5,3,3,11,533,Loyal Customers
12495,276,1,357.4,1,1,2,4,112,Lost
12496,256,2,45.34,1,2,1,4,121,Lost
12497,36,2,5205.400000000001,4,2,5,11,425,New Customers
12499,196,1,393.72,1,1,2,4,112,Lost
12500,71,8,1697.39,3,5,4,12,354,Loyal Customers
12503,220,1,1126.0,1,1,4,6,114,Cant Lose Them
12504,53,2,297.0,3,2,2,7,322,Others
12505,44,1,955.2,3,1,3,7,313,Others
12507,220,1,539.25,1,1,3,5,113,Cant Lose Them
12510,95,7,4195.45,2,5,5,12,255,At Risk
12511,64,1,3084.02,3,1,5,9,315,Others
12514,277,1,580.08,1,1,3,5,113,Cant Lose Them
12516,66,2,1336.56,3,2,4,9,324,Others
12519,112,1,385.7,2,1,2,5,212,Lost
12523,10,12,2562.58,5,5,5,15,555,Champions
12524,24,9,6640.39,4,5,5,14,455,Champions
12525,134,3,973.73,2,3,3,8,233,At Risk
12527,130,2,386.8,2,2,2,6,222,Lost
12529,164,1,316.48,2,1,2,5,212,Lost
12530,51,5,2096.98,3,4,4,11,344,Loyal Customers
12531,322,1,1807.98,1,1,4,6,114,Cant Lose Them
12533,263,2,1367.89,1,2,4,7,124,Cant Lose Them
12537,44,1,732.94,3,1,3,7,313,Others
12538,14,1,276.5,5,1,2,8,512,New Customers
