Fold,Train Days,Test Days,MAPE (%),MAE,RMSE
1,180,30,42.43,7966.37,10496.91
2,210,30,30.53,6154.81,7767.3
3,240,30,26.74,5007.48,6826.67
4,270,30,28.91,7506.8,10742.67
5,300,30,39.89,17343.68,24462.94
6,330,30,21.99,10489.29,13872.31
7,360,30,130.87,18117.87,20992.74
8,390,30,116.93,23004.59,25815.18
9,420,30,69.9,7431.09,9229.08
10,450,30,25.65,5262.18,6724.11
11,480,30,26.0,7059.72,8813.44
12,510,30,33.05,10394.4,12606.54
13,540,30,25.25,7481.14,10933.3
14,570,30,28.71,5235.04,7038.44
15,600,30,33.78,9346.76,13567.56
16,630,30,35.44,11566.64,19049.33
17,660,30,33.08,13545.93,18393.45
18,690,30,24.36,10095.69,12470.9
