Date,demand,stock_level,stockout,ordered
2009-12-01,24335,16771,0,41106
2009-12-02,29679,0,12908,41106
2009-12-03,48009,0,48009,41106
2009-12-04,19954,0,19954,41106
2009-12-05,5119,0,5119,41106
2009-12-06,11502,0,11502,41106
2009-12-07,15557,0,15557,41106
2009-12-08,22241,18865,0,41106
2009-12-09,15881,44090,0,41106
2009-12-10,22534,62662,0,41106
2009-12-11,21212,82556,0,41106
2009-12-12,0,123662,0,41106
2009-12-13,12205,152563,0,41106
2009-12-14,40815,152854,0,41106
2009-12-15,26401,167559,0,0
2009-12-16,22044,186621,0,0
2009-12-17,15031,212696,0,0
2009-12-18,15225,238577,0,0
2009-12-19,0,279683,0,0
2009-12-20,6236,314553,0,0
2009-12-21,8446,347213,0,0
2009-12-22,11913,335300,0,0
2009-12-23,4321,330979,0,0
2009-12-24,0,330979,0,0
2009-12-25,0,330979,0,0
2009-12-26,0,330979,0,0
2009-12-27,0,330979,0,0
2009-12-28,0,330979,0,0
2009-12-29,0,330979,0,0
2009-12-30,0,330979,0,0
2009-12-31,0,330979,0,0
2010-01-01,0,330979,0,0
2010-01-02,0,330979,0,0
2010-01-03,0,330979,0,0
2010-01-04,10593,320386,0,0
2010-01-05,11288,309098,0,0
2010-01-06,7458,301640,0,0
2010-01-07,40592,261048,0,0
2010-01-08,12694,248354,0,0
2010-01-09,0,248354,0,0
2010-01-10,13291,235063,0,0
2010-01-11,9414,225649,0,0
2010-01-12,20782,204867,0,0
2010-01-13,6541,198326,0,0
2010-01-14,11788,186538,0,0
2010-01-15,8414,178124,0,0
2010-01-16,0,178124,0,0
2010-01-17,9910,168214,0,0
2010-01-18,8319,159895,0,41106
2010-01-19,12939,146956,0,41106
2010-01-20,8208,138748,0,41106
2010-01-21,72900,65848,0,41106
2010-01-22,16974,48874,0,41106
2010-01-23,0,48874,0,41106
2010-01-24,8700,40174,0,41106
2010-01-25,9104,72176,0,41106
2010-01-26,22305,90977,0,41106
2010-01-27,16985,115098,0,41106
2010-01-28,10855,145349,0,41106
2010-01-29,9471,176984,0,0
2010-01-30,0,218090,0,0
2010-01-31,10557,248639,0,0
2010-02-01,8581,281164,0,0
2010-02-02,10543,311727,0,0
2010-02-03,9369,343464,0,0
2010-02-04,12794,371776,0,0
2010-02-05,9889,361887,0,0
2010-02-06,0,361887,0,0
2010-02-07,11179,350708,0,0
2010-02-08,7043,343665,0,0
2010-02-09,10629,333036,0,0
2010-02-10,3066,329970,0,0
2010-02-11,9027,320943,0,0
2010-02-12,7324,313619,0,0
2010-02-13,0,313619,0,0
2010-02-14,10892,302727,0,0
2010-02-15,96358,206369,0,0
2010-02-16,15744,190625,0,0
2010-02-17,24986,165639,0,0
2010-02-18,19851,145788,0,41106
2010-02-19,10862,134926,0,41106
2010-02-20,0,134926,0,41106
2010-02-21,5555,129371,0,41106
2010-02-22,13423,115948,0,41106
2010-02-23,11574,104374,0,41106
2010-02-24,21941,82433,0,41106
2010-02-25,26014,97525,0,41106
2010-02-26,6798,131833,0,41106
2010-02-27,0,172939,0,0
2010-02-28,8419,205626,0,0
2010-03-01,21188,225544,0,0
2010-03-02,11019,255631,0,0
2010-03-03,20031,276706,0,0
2010-03-04,18044,299768,0,0
2010-03-05,17947,322927,0,0
2010-03-06,0,322927,0,0
