ds,yhat,yhat_lower,yhat_upper
2011-12-10,8637.150548410837,-5833.208288611319,24301.42249090809
2011-12-11,35535.58326469798,20316.405059386532,51303.93642778575
2011-12-12,50015.3391558337,34151.47243433266,65415.88307134564
2011-12-13,53473.40841460751,37225.05565694637,68089.86164448057
2011-12-14,50018.94332372543,34234.84971966084,66222.43820636926
2011-12-15,65284.16572497963,50872.51005444419,80797.90102011486
2011-12-16,53974.067083897826,39432.628411888785,68521.37292871634
2011-12-17,5421.885207855891,-10830.984592118195,20566.971851825576
2011-12-18,34655.169780194185,19172.31980194634,49065.757177384
2011-12-19,53212.169942605324,36404.20733934092,68243.08372980966
2011-12-20,60092.295839111765,45003.92457810799,75648.5814572337
2011-12-21,56267.22061189508,40878.451490073414,72578.90411491113
2011-12-22,66927.85693440211,51179.15818989291,81899.56672479665
2011-12-23,48203.048950359276,32801.83239368909,63897.081997241236
2011-12-24,-6490.99216808039,-21444.89160886575,8958.298700649222
2011-12-25,9763.458097648618,-5186.417626915055,24250.806764085177
2011-12-26,31417.920247961167,15666.140455573852,47222.219304782644
2011-12-27,29366.127122165326,12568.161632417368,44872.09652893513
2011-12-28,55721.47519299271,39392.65476778485,71859.20487474644
2011-12-29,66015.41034608494,49688.78615818809,82174.94052507625
2011-12-30,45953.14533746577,30588.319273414112,61424.543507894734
2011-12-31,-9140.535052184678,-24818.77993274758,6338.386106068459
2012-01-01,8250.934281068796,-6809.182977431139,25231.126232963197
2012-01-02,20123.844168409083,4678.93019904384,36721.88141317493
2012-01-03,61264.21231318443,45939.75573091035,77457.04857672563
2012-01-04,58735.20658437427,42502.77243515243,74324.60177304488
2012-01-05,70380.98607617311,53949.2261431022,86337.21238843485
2012-01-06,53936.92150002219,37969.213933042556,71092.2038869552
2012-01-07,2989.1682077294236,-13721.312797315199,18365.522836412834
2012-01-08,39713.86713063893,24378.70611684498,55519.30578823994
